DadDoB,DadUnicode,ChdUniCode,ChdDoB,Sex
3/30/1975 0:00:00,C-726,F-044,2/21/1986 0:00:00,F
3/30/1975 0:00:00,C-726,F-038,4/15/1986 0:00:00,F
3/30/1975 0:00:00,C-726,F-063,1/6/1987 0:00:00,F
3/30/1975 0:00:00,C-726,C-355,2/1/1996 0:00:00,M
4/10/1975 0:00:00,C-768,E-703,3/5/1982 0:00:00,M
4/10/1975 0:00:00,C-768,C-410,11/29/1992 0:00:00,F
4/10/1975 0:00:00,C-768,C-275,11/18/1997 0:00:00,F
4/10/1975 0:00:00,C-768,D-689,1/2/1998 0:00:00,F
4/10/1975 0:00:00,C-768,A-526,11/30/1998 0:00:00,F
4/10/1975 0:00:00,C-768,D-648,3/2/1999 0:00:00,M
4/10/1975 0:00:00,C-768,A-487,12/11/1999 0:00:00,M
4/10/1975 0:00:00,C-768,A-527,3/25/2000 0:00:00,F
5/15/1975 0:00:00,C-831,E-708,3/11/1982 0:00:00,M
5/15/1975 0:00:00,C-831,E-748,2/9/1983 0:00:00,M
5/15/1975 0:00:00,C-831,F-054,2/8/1986 0:00:00,F
5/15/1975 0:00:00,C-831,F-119,1/19/1987 0:00:00,F
5/15/1975 0:00:00,C-831,F-097,3/23/1987 0:00:00,F
5/17/1975 0:00:00,C-747,E-740,12/25/1982 0:00:00,M
5/17/1975 0:00:00,C-747,E-731,1/4/1983 0:00:00,M
5/17/1975 0:00:00,C-747,E-987,2/2/1984 0:00:00,M
5/17/1975 0:00:00,C-747,F-021,4/25/1985 0:00:00,M
5/17/1975 0:00:00,C-747,F-313,2/13/1991 0:00:00,M
2/18/1976 0:00:00,D-100,E-676,2/8/1981 0:00:00,M
2/18/1976 0:00:00,D-100,E-705,2/8/1982 0:00:00,M
2/18/1976 0:00:00,D-100,E-702,2/22/1982 0:00:00,M
2/18/1976 0:00:00,D-100,E-741,1/30/1983 0:00:00,M
2/18/1976 0:00:00,D-100,E-747,2/22/1983 0:00:00,F
2/18/1976 0:00:00,D-100,F-263,3/29/1990 0:00:00,F
2/18/1976 0:00:00,D-100,D-105,1/5/1996 0:00:00,M
2/28/1976 0:00:00,D-120,E-726,2/14/1983 0:00:00,F
2/28/1976 0:00:00,D-120,E-723,3/21/1983 0:00:00,M
2/28/1976 0:00:00,D-120,F-226,1/31/1989 0:00:00,M
2/28/1976 0:00:00,D-120,D-660,12/10/1992 0:00:00,M
2/28/1976 0:00:00,D-120,A-096,12/6/1993 0:00:00,M
2/28/1976 0:00:00,D-120,E-036,1/1/1994 0:00:00,F
2/28/1976 0:00:00,D-120,A-041,12/1/1994 0:00:00,M
2/28/1976 0:00:00,D-120,E-060,2/24/1995 0:00:00,M
3/13/1976 0:00:00,D-181,E-751,3/6/1983 0:00:00,F
3/13/1976 0:00:00,D-181,A-076,3/10/1992 0:00:00,F
3/13/1976 0:00:00,D-181,D-641,4/25/1995 0:00:00,M
4/4/1976 0:00:00,D-142,F-242,1/29/1990 0:00:00,M
4/16/1976 0:00:00,D-238,F-013,5/6/1985 0:00:00,F
4/16/1976 0:00:00,D-238,F-043,3/1/1986 0:00:00,M
4/16/1976 0:00:00,D-238,F-056,4/11/1986 0:00:00,M
4/18/1976 0:00:00,D-140,E-763,2/27/1984 0:00:00,F
4/18/1976 0:00:00,D-140,F-046,2/20/1986 0:00:00,F
4/18/1976 0:00:00,D-140,F-058,3/7/1986 0:00:00,F
4/18/1976 0:00:00,D-140,F-114,12/17/1986 0:00:00,F
4/18/1976 0:00:00,D-140,F-065,2/14/1987 0:00:00,F
4/18/1976 0:00:00,D-140,F-140,12/29/1987 0:00:00,F
4/18/1976 0:00:00,D-140,F-145,3/17/1988 0:00:00,F
4/18/1976 0:00:00,D-140,F-203,3/19/1989 0:00:00,M
4/18/1976 0:00:00,D-140,F-193,3/27/1989 0:00:00,M
4/18/1976 0:00:00,D-140,F-253,3/14/1990 0:00:00,M
4/18/1976 0:00:00,D-140,F-311,1/7/1991 0:00:00,M
4/18/1976 0:00:00,D-140,A-535,1/29/1993 0:00:00,M
4/18/1976 0:00:00,D-140,B-014,1/17/1994 0:00:00,F
4/18/1976 0:00:00,D-140,C-813,1/18/1994 0:00:00,F
4/18/1976 0:00:00,D-140,B-053,1/19/1994 0:00:00,M
4/18/1976 0:00:00,D-140,D-996,1/2/1997 0:00:00,M
4/18/1976 0:00:00,D-140,D-602,2/17/1997 0:00:00,F
4/26/1976 0:00:00,D-219,E-991,2/16/1985 0:00:00,M
4/26/1976 0:00:00,D-219,F-003,2/22/1985 0:00:00,F
4/26/1976 0:00:00,D-219,F-000,3/22/1985 0:00:00,F
4/26/1976 0:00:00,D-219,F-096,1/4/1987 0:00:00,M
4/26/1976 0:00:00,D-219,F-165,3/12/1988 0:00:00,M
4/26/1976 0:00:00,D-219,F-173,1/19/1989 0:00:00,M
4/26/1976 0:00:00,D-219,F-195,1/24/1989 0:00:00,F
4/26/1976 0:00:00,D-219,A-976,2/5/1993 0:00:00,M
4/26/1976 0:00:00,D-219,A-536,2/15/1994 0:00:00,F
4/26/1976 0:00:00,D-219,A-883,1/23/1995 0:00:00,M
4/26/1976 0:00:00,D-219,B-945,12/27/1995 0:00:00,F
4/26/1976 0:00:00,D-219,A-159,3/19/1997 0:00:00,F
4/26/1976 0:00:00,D-219,C-295,4/14/1997 0:00:00,M
4/26/1976 0:00:00,D-219,B-353,1/23/1998 0:00:00,M
4/26/1976 0:00:00,D-219,B-457,1/26/1998 0:00:00,M
5/1/1976 0:00:00,D-280,F-051,2/3/1986 0:00:00,M
5/1/1976 0:00:00,D-280,F-169,1/16/1988 0:00:00,F
5/1/1976 0:00:00,D-280,F-126,1/27/1988 0:00:00,F
5/1/1976 0:00:00,D-280,F-142,2/29/1988 0:00:00,F
5/1/1976 0:00:00,D-280,F-121,3/10/1988 0:00:00,M
5/20/1976 0:00:00,D-259,F-077,2/4/1987 0:00:00,F
5/20/1976 0:00:00,D-259,F-249,2/16/1990 0:00:00,F
6/14/1976 0:00:00,D-141,F-316,2/8/1991 0:00:00,M
7/24/1976 0:00:00,D-160,F-026,1/7/1986 0:00:00,F
7/24/1976 0:00:00,D-160,F-028,1/26/1986 0:00:00,F
2/12/1977 0:00:00,D-595,F-015,1/22/1985 0:00:00,M
2/12/1977 0:00:00,D-595,F-166,12/9/1987 0:00:00,F
3/8/1977 0:00:00,D-573,E-998,2/19/1985 0:00:00,F
3/8/1977 0:00:00,D-573,F-074,1/31/1987 0:00:00,M
3/11/1977 0:00:00,D-615,E-993,4/8/1985 0:00:00,M
3/11/1977 0:00:00,D-615,F-045,1/22/1986 0:00:00,M
3/11/1977 0:00:00,D-615,F-037,2/4/1986 0:00:00,F
3/11/1977 0:00:00,D-615,F-035,2/6/1986 0:00:00,M
3/11/1977 0:00:00,D-615,F-112,1/1/1987 0:00:00,M
3/11/1977 0:00:00,D-615,F-088,2/11/1987 0:00:00,M
3/11/1977 0:00:00,D-615,F-175,1/19/1989 0:00:00,F
3/18/1977 0:00:00,D-658,F-200,1/9/1989 0:00:00,M
3/20/1977 0:00:00,D-594,E-670,2/13/1981 0:00:00,F
3/27/1977 0:00:00,D-596,B-863,2/27/1996 0:00:00,M
7/1/1977 0:00:00,D-637,F-092,1/3/1987 0:00:00,M
7/1/1977 0:00:00,D-637,F-093,1/28/1987 0:00:00,F
7/1/1977 0:00:00,D-637,F-129,12/15/1987 0:00:00,M
1/27/1978 0:00:00,D-989,F-308,1/20/1991 0:00:00,M
1/29/1978 0:00:00,E-010,E-985,1/1/1984 0:00:00,M
2/28/1978 0:00:00,E-055,F-005,2/17/1985 0:00:00,M
2/28/1978 0:00:00,E-055,F-016,3/7/1985 0:00:00,M
3/12/1978 0:00:00,D-680,F-101,1/27/1987 0:00:00,M
3/12/1978 0:00:00,D-680,F-224,3/7/1989 0:00:00,M
4/6/1978 0:00:00,D-701,F-071,12/27/1986 0:00:00,M
4/6/1978 0:00:00,D-701,F-333,3/19/1992 0:00:00,F
4/6/1978 0:00:00,D-701,E-061,3/30/1995 0:00:00,F
4/12/1978 0:00:00,E-056,E-988,2/6/1985 0:00:00,M
4/12/1978 0:00:00,E-056,F-061,2/28/1987 0:00:00,F
1/2/1979 0:00:00,E-425,F-031,1/29/1986 0:00:00,F
1/2/1979 0:00:00,E-425,F-099,1/1/1987 0:00:00,F
1/2/1979 0:00:00,E-425,F-102,1/14/1987 0:00:00,F
1/2/1979 0:00:00,E-425,F-133,2/8/1988 0:00:00,M
1/2/1979 0:00:00,E-425,F-159,2/12/1988 0:00:00,F
1/11/1979 0:00:00,E-120,F-053,2/6/1986 0:00:00,M
1/11/1979 0:00:00,E-120,F-130,12/24/1987 0:00:00,M
2/4/1979 0:00:00,E-422,F-081,4/25/1987 0:00:00,M
2/14/1979 0:00:00,E-419,F-078,2/6/1987 0:00:00,M
2/14/1979 0:00:00,E-419,F-164,12/22/1987 0:00:00,F
2/14/1979 0:00:00,E-419,F-215,1/18/1989 0:00:00,F
2/14/1979 0:00:00,E-419,F-257,1/24/1990 0:00:00,F
2/14/1979 0:00:00,E-419,F-293,12/2/1990 0:00:00,F
2/28/1979 0:00:00,E-141,F-007,2/28/1985 0:00:00,M
2/28/1979 0:00:00,E-141,F-310,3/5/1991 0:00:00,F
2/28/1979 0:00:00,E-141,C-371,1/28/1993 0:00:00,F
2/28/1979 0:00:00,E-141,D-562,12/25/1997 0:00:00,F
3/12/1979 0:00:00,E-423,E-999,1/29/1985 0:00:00,M
3/12/1979 0:00:00,E-423,F-090,4/3/1987 0:00:00,M
3/12/1979 0:00:00,E-423,F-123,12/7/1987 0:00:00,F
3/12/1979 0:00:00,E-423,F-137,1/30/1988 0:00:00,M
3/12/1979 0:00:00,E-423,F-186,12/21/1988 0:00:00,F
3/12/1979 0:00:00,E-423,F-187,2/5/1989 0:00:00,F
3/12/1979 0:00:00,E-423,F-182,5/28/1989 0:00:00,M
3/12/1979 0:00:00,E-423,F-296,1/29/1991 0:00:00,F
3/12/1979 0:00:00,E-423,A-095,3/7/1992 0:00:00,F
3/12/1979 0:00:00,E-423,C-247,12/15/1992 0:00:00,M
3/12/1979 0:00:00,E-423,D-554,1/5/1993 0:00:00,M
3/12/1979 0:00:00,E-423,B-961,1/11/1993 0:00:00,M
3/12/1979 0:00:00,E-423,C-288,2/5/1993 0:00:00,M
3/12/1979 0:00:00,E-423,C-350,2/10/1993 0:00:00,F
3/12/1979 0:00:00,E-423,C-228,3/1/1993 0:00:00,M
3/12/1979 0:00:00,E-423,C-770,3/19/1994 0:00:00,F
3/12/1979 0:00:00,E-423,D-121,4/10/1994 0:00:00,M
3/12/1979 0:00:00,E-423,D-558,12/3/1995 0:00:00,F
4/11/1979 0:00:00,E-421,F-083,3/13/1987 0:00:00,M
4/11/1979 0:00:00,E-421,F-218,1/24/1989 0:00:00,M
4/11/1979 0:00:00,E-421,F-220,2/25/1989 0:00:00,M
4/11/1979 0:00:00,E-421,A-922,1/22/1995 0:00:00,M
4/11/1979 0:00:00,E-421,A-181,12/22/1998 0:00:00,M
4/11/1979 0:00:00,E-421,A-528,1/12/2000 0:00:00,F
1/14/1980 0:00:00,E-431,F-080,2/4/1987 0:00:00,F
1/19/1980 0:00:00,E-612,A-158,1/5/1997 0:00:00,F
2/17/1980 0:00:00,E-624,E-170,1/5/1997 0:00:00,F
2/18/1980 0:00:00,E-610,F-122,2/7/1988 0:00:00,M
2/18/1980 0:00:00,E-610,F-202,1/9/1989 0:00:00,F
2/18/1980 0:00:00,E-610,F-256,1/24/1990 0:00:00,F
2/18/1980 0:00:00,E-610,F-248,3/5/1990 0:00:00,M
2/28/1980 0:00:00,E-432,F-138,2/8/1988 0:00:00,F
2/28/1980 0:00:00,E-432,F-128,2/9/1988 0:00:00,M
2/28/1980 0:00:00,E-432,C-665,12/21/1993 0:00:00,M
2/28/1980 0:00:00,E-432,A-479,1/30/1995 0:00:00,M
2/28/1980 0:00:00,E-432,C-231,2/7/1996 0:00:00,M
2/28/1980 0:00:00,E-432,A-962,3/20/1996 0:00:00,M
2/28/1980 0:00:00,E-432,B-846,12/26/1997 0:00:00,F
2/28/1980 0:00:00,E-432,A-503,3/23/1998 0:00:00,M
3/4/1980 0:00:00,E-429,F-222,1/22/1989 0:00:00,M
3/4/1980 0:00:00,E-429,B-780,1/3/1994 0:00:00,M
3/4/1980 0:00:00,E-429,D-285,1/31/1994 0:00:00,M
3/4/1980 0:00:00,E-429,A-115,2/4/1994 0:00:00,M
3/4/1980 0:00:00,E-429,D-184,12/13/1994 0:00:00,M
3/4/1980 0:00:00,E-429,A-078,1/9/1995 0:00:00,F
3/4/1980 0:00:00,E-429,B-452,1/22/1995 0:00:00,F
3/4/1980 0:00:00,E-429,E-146,4/6/1995 0:00:00,M
3/4/1980 0:00:00,E-429,D-559,12/2/1995 0:00:00,M
3/4/1980 0:00:00,E-429,D-146,1/26/1997 0:00:00,F
3/4/1980 0:00:00,E-429,A-963,3/16/1997 0:00:00,F
3/5/1980 0:00:00,E-626,F-194,2/21/1989 0:00:00,M
3/5/1980 0:00:00,E-626,D-579,1/11/1996 0:00:00,F
3/5/1980 0:00:00,E-626,D-289,1/22/1996 0:00:00,M
3/5/1980 0:00:00,E-626,B-951,2/4/1999 0:00:00,M
3/11/1980 0:00:00,E-648,F-085,1/18/1987 0:00:00,F
3/11/1980 0:00:00,E-648,F-147,1/10/1988 0:00:00,F
3/11/1980 0:00:00,E-648,F-154,1/16/1988 0:00:00,F
3/11/1980 0:00:00,E-648,F-155,3/19/1988 0:00:00,F
3/11/1980 0:00:00,E-648,F-197,1/8/1989 0:00:00,M
3/11/1980 0:00:00,E-648,F-180,1/21/1989 0:00:00,M
3/11/1980 0:00:00,E-648,F-178,1/22/1989 0:00:00,F
3/11/1980 0:00:00,E-648,F-211,2/26/1989 0:00:00,M
3/11/1980 0:00:00,E-648,F-210,3/6/1989 0:00:00,F
3/11/1980 0:00:00,E-648,F-181,3/20/1989 0:00:00,F
3/11/1980 0:00:00,E-648,F-276,2/3/1990 0:00:00,F
3/11/1980 0:00:00,E-648,F-275,2/8/1990 0:00:00,F
3/11/1980 0:00:00,E-648,F-285,1/13/1991 0:00:00,F
3/11/1980 0:00:00,E-648,F-283,2/8/1991 0:00:00,F
3/11/1980 0:00:00,E-648,F-343,12/22/1991 0:00:00,F
3/11/1980 0:00:00,E-648,F-341,1/11/1992 0:00:00,F
3/11/1980 0:00:00,E-648,F-349,2/14/1992 0:00:00,M
3/11/1980 0:00:00,E-648,F-336,3/21/1992 0:00:00,M
3/11/1980 0:00:00,E-648,A-959,1/8/1993 0:00:00,F
3/11/1980 0:00:00,E-648,D-534,2/2/1993 0:00:00,F
3/11/1980 0:00:00,E-648,C-748,4/17/1993 0:00:00,F
3/12/1980 0:00:00,E-426,F-072,2/12/1987 0:00:00,M
3/14/1980 0:00:00,E-428,F-209,2/8/1989 0:00:00,M
3/14/1980 0:00:00,E-428,D-557,2/9/1995 0:00:00,F
3/14/1980 0:00:00,E-428,B-493,1/7/1996 0:00:00,F
3/14/1980 0:00:00,E-428,C-773,2/8/1996 0:00:00,M
3/14/1980 0:00:00,E-428,C-751,2/15/1996 0:00:00,F
3/14/1980 0:00:00,E-428,B-786,1/14/1998 0:00:00,M
3/14/1980 0:00:00,E-428,A-050,12/17/1999 0:00:00,M
3/14/1980 0:00:00,E-428,C-302,11/14/2000 0:00:00,F
3/16/1980 0:00:00,E-427,F-004,3/11/1985 0:00:00,M
3/16/1980 0:00:00,E-427,A-611,3/14/1993 0:00:00,M
3/16/1980 0:00:00,E-427,A-020,6/15/1993 0:00:00,F
3/17/1980 0:00:00,E-613,F-027,1/12/1986 0:00:00,F
3/17/1980 0:00:00,E-613,F-149,2/2/1988 0:00:00,F
3/17/1980 0:00:00,E-613,B-373,12/31/1994 0:00:00,M
3/17/1980 0:00:00,E-613,B-379,3/22/1998 0:00:00,M
3/19/1980 0:00:00,E-617,F-104,1/16/1987 0:00:00,M
1/5/1981 0:00:00,E-672,F-134,1/17/1988 0:00:00,M
1/5/1981 0:00:00,E-672,F-205,2/14/1989 0:00:00,M
1/5/1981 0:00:00,E-672,F-268,4/26/1990 0:00:00,M
1/5/1981 0:00:00,E-672,F-304,3/4/1991 0:00:00,F
1/5/1981 0:00:00,E-672,C-234,11/30/1996 0:00:00,M
1/5/1981 0:00:00,E-672,D-688,12/26/1997 0:00:00,F
1/13/1981 0:00:00,E-668,C-769,11/28/1992 0:00:00,F
1/13/1981 0:00:00,E-668,B-469,1/5/1993 0:00:00,F
1/13/1981 0:00:00,E-668,B-819,12/22/1993 0:00:00,M
1/13/1981 0:00:00,E-668,D-221,2/7/1994 0:00:00,M
1/13/1981 0:00:00,E-668,E-014,12/28/1994 0:00:00,F
1/13/1981 0:00:00,E-668,C-687,3/11/1995 0:00:00,M
1/13/1981 0:00:00,E-668,C-334,12/24/1995 0:00:00,M
1/13/1981 0:00:00,E-668,A-576,1/16/1996 0:00:00,F
1/13/1981 0:00:00,E-668,C-314,1/29/1996 0:00:00,M
1/13/1981 0:00:00,E-668,C-795,2/2/1996 0:00:00,M
1/13/1981 0:00:00,E-668,C-729,2/26/1996 0:00:00,M
1/13/1981 0:00:00,E-668,A-118,3/19/1996 0:00:00,M
1/13/1981 0:00:00,E-668,B-970,3/23/1998 0:00:00,F
1/22/1981 0:00:00,E-657,F-152,1/24/1988 0:00:00,M
1/22/1981 0:00:00,E-657,B-417,2/8/1997 0:00:00,M
1/22/1981 0:00:00,E-657,D-541,12/4/1997 0:00:00,F
1/22/1981 0:00:00,E-657,E-086,1/20/1998 0:00:00,F
1/23/1981 0:00:00,E-654,F-176,1/17/1989 0:00:00,F
1/23/1981 0:00:00,E-654,F-198,4/2/1989 0:00:00,F
1/23/1981 0:00:00,E-654,F-351,2/21/1992 0:00:00,F
1/23/1981 0:00:00,E-654,B-052,1/8/1993 0:00:00,F
1/23/1981 0:00:00,E-654,C-706,4/8/1993 0:00:00,M
1/23/1981 0:00:00,E-654,C-390,3/4/1994 0:00:00,M
1/23/1981 0:00:00,E-654,C-667,2/28/1995 0:00:00,M
1/23/1981 0:00:00,E-654,C-374,1/18/1996 0:00:00,M
1/23/1981 0:00:00,E-654,D-266,2/17/1997 0:00:00,F
1/23/1981 0:00:00,E-654,A-983,12/23/1997 0:00:00,M
1/23/1981 0:00:00,E-654,D-169,12/24/1997 0:00:00,M
1/23/1981 0:00:00,E-654,D-979,2/26/1999 0:00:00,M
1/23/1981 0:00:00,E-654,E-091,3/1/2000 0:00:00,M
1/25/1981 0:00:00,E-667,F-075,1/27/1987 0:00:00,M
1/25/1981 0:00:00,E-667,F-301,12/29/1990 0:00:00,F
1/25/1981 0:00:00,E-667,F-324,1/15/1991 0:00:00,M
1/25/1981 0:00:00,E-667,F-326,2/4/1991 0:00:00,M
1/25/1981 0:00:00,E-667,F-299,2/7/1991 0:00:00,F
2/4/1981 0:00:00,E-665,F-125,1/2/1988 0:00:00,F
2/4/1981 0:00:00,E-665,F-230,1/10/1989 0:00:00,F
2/4/1981 0:00:00,E-665,F-233,2/23/1989 0:00:00,M
2/4/1981 0:00:00,E-665,A-997,2/13/1995 0:00:00,M
2/4/1981 0:00:00,E-665,B-785,1/16/1997 0:00:00,F
2/4/1981 0:00:00,E-665,A-484,12/11/1997 0:00:00,M
2/4/1981 0:00:00,E-665,D-207,1/5/1998 0:00:00,M
2/4/1981 0:00:00,E-665,E-089,12/3/1998 0:00:00,M
2/4/1981 0:00:00,E-665,A-601,12/16/1998 0:00:00,M
2/4/1981 0:00:00,E-665,C-379,12/20/1998 0:00:00,F
2/8/1981 0:00:00,E-661,F-252,2/17/1990 0:00:00,F
2/8/1981 0:00:00,E-656,F-325,12/19/1990 0:00:00,M
2/8/1981 0:00:00,E-676,F-312,1/15/1991 0:00:00,M
2/8/1981 0:00:00,E-676,F-335,2/21/1992 0:00:00,M
2/17/1981 0:00:00,E-659,F-160,2/6/1988 0:00:00,M
2/17/1981 0:00:00,E-659,F-192,1/2/1989 0:00:00,M
2/17/1981 0:00:00,E-659,F-208,1/18/1989 0:00:00,F
2/21/1981 0:00:00,E-664,F-117,2/8/1987 0:00:00,F
2/21/1981 0:00:00,E-664,F-163,2/7/1988 0:00:00,F
2/21/1981 0:00:00,E-664,F-177,2/27/1989 0:00:00,F
2/21/1981 0:00:00,E-664,F-183,3/25/1989 0:00:00,F
2/21/1981 0:00:00,E-664,F-272,1/16/1990 0:00:00,M
2/21/1981 0:00:00,E-664,F-254,5/19/1990 0:00:00,M
2/21/1981 0:00:00,E-664,F-328,12/7/1990 0:00:00,F
2/21/1981 0:00:00,E-664,F-286,12/21/1990 0:00:00,F
2/21/1981 0:00:00,E-664,F-350,12/28/1991 0:00:00,M
2/21/1981 0:00:00,E-664,F-344,1/15/1992 0:00:00,F
2/21/1981 0:00:00,E-664,A-900,12/24/1992 0:00:00,M
2/21/1981 0:00:00,E-664,C-249,12/7/1993 0:00:00,M
2/21/1981 0:00:00,E-664,C-666,1/21/1994 0:00:00,M
2/21/1981 0:00:00,E-664,D-144,1/24/1995 0:00:00,M
2/21/1981 0:00:00,E-664,D-973,1/31/1995 0:00:00,F
2/21/1981 0:00:00,E-664,C-857,1/12/1997 0:00:00,M
3/14/1981 0:00:00,E-660,F-032,2/9/1986 0:00:00,M
3/14/1981 0:00:00,E-660,F-144,12/30/1987 0:00:00,F
3/14/1981 0:00:00,E-660,F-201,1/16/1989 0:00:00,M
3/14/1981 0:00:00,E-660,F-217,2/2/1989 0:00:00,M
3/14/1981 0:00:00,E-660,F-207,2/24/1989 0:00:00,F
3/14/1981 0:00:00,E-660,F-216,4/27/1989 0:00:00,M
3/14/1981 0:00:00,E-660,F-240,2/2/1990 0:00:00,M
3/14/1981 0:00:00,E-660,C-389,1/17/1993 0:00:00,M
3/14/1981 0:00:00,E-660,B-015,1/15/1995 0:00:00,M
3/14/1981 0:00:00,E-660,B-035,2/6/1995 0:00:00,M
3/14/1981 0:00:00,E-660,A-943,2/29/1996 0:00:00,F
3/14/1981 0:00:00,E-660,B-823,2/7/1997 0:00:00,F
3/27/1981 0:00:00,E-673,A-174,3/30/1995 0:00:00,F
3/27/1981 0:00:00,E-673,D-166,12/18/1995 0:00:00,F
3/27/1981 0:00:00,E-673,C-838,1/14/1997 0:00:00,M
3/27/1981 0:00:00,E-673,D-580,4/6/1997 0:00:00,F
3/27/1981 0:00:00,E-673,B-478,12/8/1997 0:00:00,F
3/27/1981 0:00:00,E-673,A-560,12/12/1997 0:00:00,M
3/27/1981 0:00:00,E-673,D-247,1/13/1998 0:00:00,M
3/27/1981 0:00:00,E-673,B-477,2/20/1998 0:00:00,F
3/27/1981 0:00:00,E-673,A-543,3/24/1998 0:00:00,M
6/4/1981 0:00:00,E-679,F-189,2/14/1989 0:00:00,M
6/4/1981 0:00:00,E-679,F-274,2/26/1990 0:00:00,F
6/4/1981 0:00:00,E-679,F-273,3/12/1990 0:00:00,F
6/4/1981 0:00:00,E-679,F-302,2/13/1991 0:00:00,F
6/4/1981 0:00:00,E-679,F-375,12/5/1991 0:00:00,M
6/4/1981 0:00:00,E-679,F-347,12/16/1991 0:00:00,M
6/4/1981 0:00:00,E-679,F-345,12/20/1991 0:00:00,M
6/4/1981 0:00:00,E-679,F-376,12/26/1991 0:00:00,M
6/4/1981 0:00:00,E-679,F-369,1/10/1992 0:00:00,F
6/4/1981 0:00:00,E-679,F-348,2/19/1992 0:00:00,M
6/4/1981 0:00:00,E-679,C-268,11/24/1992 0:00:00,F
6/4/1981 0:00:00,E-679,C-227,11/30/1992 0:00:00,M
6/4/1981 0:00:00,E-679,D-990,12/14/1992 0:00:00,F
6/4/1981 0:00:00,E-679,A-516,12/21/1992 0:00:00,M
6/4/1981 0:00:00,E-679,B-390,1/15/1993 0:00:00,M
6/4/1981 0:00:00,E-679,D-991,11/24/1993 0:00:00,M
6/4/1981 0:00:00,E-679,D-598,11/25/1993 0:00:00,F
6/4/1981 0:00:00,E-679,B-491,12/19/1993 0:00:00,M
6/4/1981 0:00:00,E-679,E-059,1/14/1994 0:00:00,F
6/4/1981 0:00:00,E-679,D-201,3/8/1994 0:00:00,M
6/4/1981 0:00:00,E-679,D-535,4/19/1994 0:00:00,M
6/4/1981 0:00:00,E-679,A-060,11/21/1994 0:00:00,M
6/4/1981 0:00:00,E-679,A-960,11/29/1994 0:00:00,M
6/4/1981 0:00:00,E-679,D-992,12/22/1994 0:00:00,F
6/4/1981 0:00:00,E-679,A-978,1/10/1995 0:00:00,F
6/4/1981 0:00:00,E-679,D-103,1/30/1995 0:00:00,M
6/4/1981 0:00:00,E-679,C-271,2/15/1995 0:00:00,M
6/4/1981 0:00:00,E-679,A-098,3/1/1995 0:00:00,M
6/4/1981 0:00:00,E-679,B-822,11/30/1995 0:00:00,M
6/4/1981 0:00:00,E-679,B-803,12/4/1995 0:00:00,M
6/4/1981 0:00:00,E-679,B-416,1/3/1996 0:00:00,M
6/4/1981 0:00:00,E-679,B-375,1/17/1996 0:00:00,F
6/4/1981 0:00:00,E-679,A-615,1/22/1996 0:00:00,M
6/4/1981 0:00:00,E-679,E-168,2/4/1996 0:00:00,F
6/4/1981 0:00:00,E-679,B-842,3/17/1996 0:00:00,M
6/4/1981 0:00:00,E-679,D-188,2/23/1997 0:00:00,F
6/4/1981 0:00:00,E-679,C-359,2/27/1999 0:00:00,M
6/4/1981 0:00:00,E-679,A-085,3/4/1999 0:00:00,M
6/4/1981 0:00:00,E-679,B-869,1/3/2000 0:00:00,M
6/4/1981 0:00:00,E-679,B-521,1/29/2000 0:00:00,F
6/4/1981 0:00:00,E-679,B-485,12/25/2001 0:00:00,M
